id	name	ugrad	grad	exchange	total
-1	Northern Cyprus	0	0	0	0
-2	Kosovo	0	0	0	0
-3	Somaliland	0	0	0	0
4	Afghanistan	0	0	0	0
8	Albania	0	0	0	0
10	Antarctica	0	0	0	0
12	Algeria	0	0	0	0
16	American Samoa	0	0	0	0
20	Andorra	0	0	0	0
24	Angola	0	0	0	0
28	Antigua and Barbuda	0	0	0	0
31	Azerbaijan	0	0	0	0
32	Argentina	0	2	0	2
36	Australia	2	1	5	8
40	Austria	2	0	0	2
44	Bahamas	0	0	0	0
48	Bahrain	0	0	0	0
50	Bangladesh	1	0	0	1
51	Armenia	0	0	0	0
52	Barbados	0	0	0	0
56	Belgium	1	0	0	1
60	Bermuda	1	0	0	1
64	Bhutan	0	0	0	0
68	Bolivia	0	0	0	0
70	Bosnia and Herzegovina	0	0	0	0
72	Botswana	0	0	0	0
74	Bouvet Island	0	0	0	0
76	Brazil	16	11	0	27
84	Belize	0	1	0	1
86	British Indian Ocean Territory	0	0	0	0
90	Solomon Islands	0	0	0	0
92	"Virgin Islands, British"	0	0	0	0
96	Brunei Darussalam	0	0	0	0
100	Bulgaria	0	0	0	0
104	Myanmar	3	0	0	3
108	Burundi	0	0	0	0
112	Belarus	0	0	0	0
116	Cambodia	0	0	0	0
120	Cameroon	0	0	0	0
124	Canada	27	3	0	30
132	Cape Verde	0	0	0	0
136	Cayman Islands	0	0	0	0
140	Central African Republic	0	0	0	0
144	Sri Lanka	0	1	0	1
148	Chad	0	0	0	0
152	Chile	2	16	4	22
156	China	49	20	0	69
158	"Taiwan, Province of China"	6	2	0	8
162	Christmas Island	0	0	0	0
166	Cocos (Keeling) Islands	0	0	0	0
170	Colombia	22	14	0	36
174	Comoros	0	0	0	0
175	Mayotte	0	0	0	0
178	Congo	0	0	0	0
180	"Congo, the Democratic Republic of the"	0	0	0	0
184	Cook Islands	0	0	0	0
188	Costa Rica	7	4	0	11
191	Croatia	0	0	0	0
192	Cuba	0	0	0	0
196	Cyprus	0	0	0	0
203	Czech Republic	0	0	0	0
204	Benin	0	0	0	0
208	Denmark	1	0	0	1
212	Dominica	0	0	0	0
214	Dominican Republic	11	3	0	14
218	Ecuador	1	0	0	1
222	El Salvador	1	0	0	1
